#,Tier,Institution,Official Website,Residency / Fellowship Hub,School / People Directory,Directory Type,Crawler Fit,Crawler Notes
1,Tier 1,Baylor College of Medicine,https://www.bcm.edu/,https://www.bcm.edu/education/school-of-medicine/graduate-medical-education,https://www.bcm.edu/resource-links/find-a-person,People directory,Strong,GME hub links to separate residency and fellowship lists; program pages commonly expose current trainees.
2,Tier 1,Baylor Scott & White Health,https://www.bswhealth.com/,https://www.bswhealth.com/medical-professionals/education/graduate-medical-education,https://www.bswhealth.com/find-care,Provider directory,Strong,Single GME page lists 125+ programs by campus and links to program pages. No public employee-wide directory found.
3,Tier 1,Texas Tech University Health Sciences Center,https://www.ttuhsc.edu/,https://bittaxi.ttuhsc.edu/,https://directory.ttuhsc.edu/,People directory,Moderate,"Official program search is useful as a seed; trainee pages are split across campus and department sites, including blog.ttuhsc.edu."
4,Tier 1,University of Arizona College of Medicine – Tucson,https://medicine.arizona.edu/,https://medicine.arizona.edu/education/residencies-fellowships,https://phonebook.arizona.edu/,People directory,Strong,Tucson GME hub covers 60+ programs. Campus directory points to this phonebook for person searches.
5,Tier 1,University of Rochester Medical Center (URMC),https://www.urmc.rochester.edu/,https://www.urmc.rochester.edu/education/graduate-medical-education/prospective-residents/programs,https://www.urmc.rochester.edu/people/search,Provider directory,Strong,Program directory is the best crawler seed; provider finder is not an employee-wide directory.
6,Tier 1,NewYork-Presbyterian,https://www.nyp.org/,https://www.nyp.org/graduate-medical-education,https://doctors.nyp.org/,Provider directory,Moderate,Training pages often route to Columbia or Weill Cornell program sites; crawler should allow those official affiliated domains.
7,Tier 1,Mass General Brigham,https://www.massgeneralbrigham.org/,https://research.massgeneralbrigham.org/en/education-and-training/graduate-medical-education,https://www.massgeneralbrigham.org/en/search/doctors,Provider directory,Strong,Central GME page links to a training-opportunities search across member hospitals.
8,Tier 1,University of Arkansas for Medical Sciences (UAMS),https://uams.edu/,https://medicine.uams.edu/gme/residency-and-fellowship-programs/,https://directory.uams.edu/,People directory,Strong,Official College of Medicine GME list is the best starting point for specialty pages.
9,Tier 1,University of New Mexico School of Medicine,https://hsc.unm.edu/medicine/,https://hsc.unm.edu/medicine/education/gme/residencies-fellowships/,https://directory.unm.edu/public/,People directory,Strong,Public UNM directory supports faculty/staff filtering; GME page links to residency and fellowship programs.
10,Tier 1,University of Chicago Medicine,https://www.uchicagomedicine.org/,https://gme.uchicago.edu/programs/,https://directory.uchicago.edu/,People directory,Strong,Central program index plus public university/medical-center people search.
11,Tier 1,Old Dominion University / EVMS,https://www.odu.edu/,https://www.odu.edu/graduate-medical-education,https://www.odu.edu/directory,People directory,Strong,ODU GME page lists residencies and fellowships; some legacy links still use evms.edu.
12,Tier 1,University of Virginia School of Medicine,https://med.virginia.edu/,https://med.virginia.edu/gme/,https://directory.virginia.edu/,People directory,Strong,Official GME program index and UVA people directory.
13,Tier 1,Johns Hopkins Medicine,https://www.hopkinsmedicine.org/,https://www.hopkinsmedicine.org/som/education-programs/graduate-medical-education/residencies-fellowships,https://directory.johnshopkins.edu/,People directory,Strong,Residency/fellowship index is a useful crawl seed; directory may limit some details to authenticated users.
14,Tier 2,Geisinger,https://www.geisinger.org/,https://www.geisinger.edu/education/residencies-fellowships,https://www.geisinger.org/patient-care/find-a-provider,Provider directory,Strong,Central education page lists residencies and fellowships; no public employee-wide directory found.
15,Tier 2,Tower Health,https://towerhealth.org/,https://towerhealth.org/academic-affairs/residency-programs,https://towerhealth.org/providers,Provider directory,Moderate,Residency hub is public; fellowship links may be under individual hospital or specialty pages.
16,Tier 2,University of Wisconsin–Madison School of Medicine and Public Health,https://www.med.wisc.edu/,https://www.med.wisc.edu/education/graduate-medical-education/,https://www.wisc.edu/directories/,People directory,Strong,GME page provides program access; campus directory includes people search.
17,Tier 2,Rush University Medical Center,https://www.rushu.rush.edu/,https://www.rushu.rush.edu/education-training/graduate-medical-education,https://doctors.rush.edu/,Provider directory,Strong,GME hub links to training programs; provider finder is the public directory available without login.
18,Tier 2,Dartmouth Health / Dartmouth Hitchcock Medical Center,https://www.dartmouth-hitchcock.org/,https://gme.dartmouth-hitchcock.org/,https://directory.dartmouth.edu/,People directory,Strong,Dedicated residents-and-fellows site; Dartmouth directory is institution-wide but may not include every health-system trainee.
19,Tier 3+,Albany Medical College / Albany Medical Center,https://www.amc.edu/,https://www.amc.edu/education/residencies-fellowships/,https://www.albanymed.org/physician-directory/,Provider directory,Strong,Residency/fellowship page links out by specialty; public directory is provider-focused.
20,Tier 3+,Mayo Clinic,https://www.mayoclinic.org/,https://college.mayo.edu/academics/residencies-and-fellowships/,https://www.mayoclinic.org/appointments/find-a-doctor,Provider directory,Strong,"Large searchable GME catalog across Arizona, Florida, and Minnesota; public directory is provider-focused."
21,Tier 1,University of Maryland School of Medicine / Medical Center,https://www.medschool.umaryland.edu/,https://www.umms.org/ummc/pros/gme,https://cfapps.umaryland.edu/directory/,People directory,Moderate,"UMMC GME hub links to residency, fellowship, and current trainee pages. The UMB campus directory is public but requires JavaScript and reCAPTCHA, which may limit automated crawling."
