name,entry_url,homepage,directory_url,program_index_url,affiliated_domains,tier
Mass General Brigham,https://research.massgeneralbrigham.org/en/education-and-training/graduate-medical-education,https://research.massgeneralbrigham.org/en/education-and-training/graduate-medical-education/training-opportunities-search,https://www.massgeneralbrigham.org/en/search/doctors,https://research.massgeneralbrigham.org/en/education-and-training/graduate-medical-education/training-opportunities-search,partners.org,Tier 1
New York-Presbyterian Hospital,https://www.nyp.org/professionals/graduate-medical-education,https://www.nyp.org/,,,columbia.edu;cornell.edu,Tier 1
Mayo Clinic College of Medicine and Science,https://college.mayo.edu/academics/residencies-and-fellowships/,https://college.mayo.edu/,https://www.mayoclinic.org/appointments/find-a-doctor,,mayoclinic.org,Tier 1
Baylor College of Medicine,https://www.bcm.edu/education/school-of-medicine/graduate-medical-education,https://www.bcm.edu/,https://www.bcm.edu/resource-links/find-a-person,,,Tier 1
Johns Hopkins University School of Medicine,https://www.hopkinsmedicine.org/som/gme/,https://www.hopkinsmedicine.org/som,,https://www.hopkinsmedicine.org/som/gme/programs/,jhmi.edu,Tier 1
University of Maryland,https://www.umms.org/ummc/pros/education-training,https://www.medschool.umaryland.edu/,https://cfapps.umaryland.edu/directory/,https://www.umms.org/ummc/pros/education-training/programs,umaryland.edu,Tier 1
University of Chicago Medical Center,https://gme.uchicago.edu/programs/,https://www.uchicagomedicine.org/health-care-professionals/education-events/graduate-medical-education,https://directory.uchicago.edu/,https://gme.uchicago.edu/programs/prospective-residents-and-fellows/,uchicagomedicine.org,Tier 1
Baylor Scott & White (Dallas/DFW/Temple/RR),https://www.bswhealth.com/medical-professionals/education/graduate-medical-education,https://www.bswhealth.com/,https://www.bswhealth.com/find-care,,,Tier 1
Texas Tech University Health Sciences Center,https://www.ttuhsc.edu/residencies,https://www.ttuhsc.edu/,,https://blog.ttuhsc.edu/medicine/graduate-medical-education/programs.aspx,,Tier 1
Strong Memorial Hospital / University of Rochester (URMC),https://www.urmc.rochester.edu/education/graduate-medical-education,https://www.urmc.rochester.edu/,https://www.urmc.rochester.edu/people/search,,,Tier 1
University of Arkansas for Medical Sciences (UAMS),https://medicine.uams.edu/gme/,https://medicine.uams.edu/gme/,,,,Tier 1
Rush University Medical Center,https://www.rushu.rush.edu/education-training/graduate-medical-education,https://www.rushu.rush.edu/education-training/graduate-medical-education,https://doctors.rush.edu/,,,Tier 2
University of Virginia Medical Center,https://med.virginia.edu/gme/,https://uvahealth.com/,,,uvahealth.com,Tier 1
University of Wisconsin Hospitals and Clinics,https://www.med.wisc.edu/education/graduate-medical-education/,https://www.med.wisc.edu/education/graduate-medical-education/,https://www.wisc.edu/directories/,https://www.med.wisc.edu/education/graduate-medical-education/acgme-accredited-training-programs/,uwhealth.org,Tier 2
University of Arizona College of Medicine–Tucson,https://medicine.arizona.edu/education/residencies-fellowships,https://medicine.arizona.edu/,,https://phoenixmed.arizona.edu/gme,bannerhealth.com,Tier 1
University of New Mexico School of Medicine,https://hsc.unm.edu/medicine/education/gme/,https://hsc.unm.edu/medicine/,https://directory.unm.edu/public/,https://hsc.unm.edu/medicine/education/gme/prospective-resident-fellows/current-training-programs.html,,Tier 1
Geisinger Health System,https://www.geisinger.edu/gchs/education/residencies-fellowships,https://www.geisinger.org/,,,geisinger.org,Tier 2
Dartmouth-Hitchcock,https://gme.dartmouth-hitchcock.org/,https://gme.dartmouth-hitchcock.org/,,,,Tier 3+
Old Dominion University / EVMS,https://www.odu.edu/graduate-medical-education,https://www.odu.edu/graduate-medical-education,https://www.odu.edu/directory,https://www.odu.edu/graduate-medical-education/residencies,evms.edu,Tier 1
Tower Health,https://towerhealth.org/academic-affairs/residency-and-fellowship-programs,https://towerhealth.org/,https://towerhealth.org/providers,,,Tier 2
Lehigh Valley Health Network,https://www.lvhn.org/education/residency-and-fellowship-opportunities,https://www.lvhn.org/,https://www.lvhn.org/doctors,,,Tier 3+
Virginia Commonwealth University Health System,https://medschool.vcu.edu/education/gme/index.html,https://medschool.vcu.edu/education/gme/,https://phonebook.vcu.edu/,,,Tier 3+
University of Oklahoma College of Medicine,https://medicine.ouhsc.edu/prospective-students/degree-programs/graduate-medical-education,https://medicine.ouhsc.edu/,https://directory.ouhsc.edu/,https://medicine.ouhsc.edu/prospective-students/degree-programs/graduate-medical-education/residencies-fellowships,,Tier 2
